Per-Scene Breakdown (sorted by abs_rel)
============================================================

Top-5 Best Scenes:
  abandonedfactory/P011/000701_left: abs_rel=0.1193
  abandonedfactory/P011/000704_left: abs_rel=0.1206
  abandonedfactory/P011/000090_left: abs_rel=0.1223
  abandonedfactory/P011/000700_left: abs_rel=0.1225
  abandonedfactory/P011/000089_left: abs_rel=0.1229

Top-5 Worst Scenes:
  abandonedfactory/P011/000656_left: abs_rel=0.7439
  abandonedfactory/P011/000665_left: abs_rel=0.7660
  abandonedfactory/P011/000664_left: abs_rel=0.7697
  abandonedfactory/P011/000657_left: abs_rel=0.8217
  abandonedfactory/P011/000666_left: abs_rel=1.2431
